,name,lat1,lat2,lon1,lon2,Number_of_shop,ratingMean,Number_of_rating_Mean,Number_of_busStop,Number_of_Mtr,Number_of_competitor,district_x,predicted_sales,has_shop,rent,disposal,cost_per_grid,formatted_address,place_id,rating,user_ratings_total,types,latitude,longitude,num_bus_stops_within_1km,num_mtr_station_within_1km,num_competitor_within_1km,district_y,zoneName
28,004-011,22.2610686,22.2851708,114.15764633333332,114.18941126666668,5,3.74,420.0,200,8,1,Wan Chai,45.95800738830305,1,3.676640591064244,12.611537753638338,8.934897162574094,"503, Portion of G F, 505 Jaffe Rd, Causeway Bay, Hong Kong",ChIJCUBE-lYABDQRLJr6RTUdiSM,3.7,399,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.28119,114.1831972,92,2,4,Wan Chai,004-011
26,004-011,22.2610686,22.2851708,114.15764633333332,114.18941126666668,5,3.74,420.0,200,8,1,Wan Chai,45.95800738830305,1,3.676640591064244,12.611537753638338,8.934897162574094,"Everwin Mansion, 號, 18 Johnston Rd, Hong Kong",ChIJteIxGF0ABDQR1l4Qg_6i7sM,3.7,139,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2770995,114.1700787,84,3,2,Wan Chai,004-011
18,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"99 Mong Kok Rd, Mong Kok, Hong Kong",ChIJ-WMijMgABDQR9YpjcuLb6aI,3.7,125,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3209789,114.1711607,124,7,14,Yau Tsim Mong,006-011
16,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"Sim City Of Chung Kiu Comm, 47, 51 Shantung St, Mong Kok, Hong Kong",ChIJ2ZOxr8cABDQRp8QKPfEuEBg,3.7,97,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3176834,114.1701697,118,7,14,Yau Tsim Mong,006-011
15,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"G/F, 52 Tong Mi Rd, Mong Kok, Hong Kong",ChIJm1IJircABDQR4XzWH6UQy_I,3.7,156,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3207372,114.1658737,127,6,16,Yau Tsim Mong,006-011
13,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"Hunghom Commercial Centre Block A, Ma Tau Wai Rd, Hok Yuen, Hong Kong",ChIJY19J3d4ABDQRFZ5R7SPqZdY,3.7,143,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3105353,114.1878974,79,0,10,Yau Tsim Mong,006-011
12,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"1 Kwong Wa St, Yau Ma Tei, Hong Kong",ChIJPQdqk8YABDQRchWnJql5Go8,3.7,87,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3160147,114.1726625,119,5,15,Yau Tsim Mong,006-011
6,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"Tung Chun Commercial Centre, 438 Shanghai St, Mong Kok, Hong Kong",ChIJEWRfSMcABDQRBhI2aDWtW3A,3.7,281,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3152532,114.1690248,117,6,16,Yau Tsim Mong,006-011
3,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"Jade Mansion, 40 Waterloo Rd, Yau Ma Tei, Hong Kong",ChIJgY04H8EABDQR3h5KFWbhB9I,3.7,190,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3127853,114.1710185,116,5,14,Yau Tsim Mong,006-011
1,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.594076870848013,"Shop No.23, G/F, Hoi Fu Shopping Centre, 2 Hoi Ting Rd, Mong Kok, Hong Kong",ChIJvdn9MLkABDQRbEofjcY9gsc,3.6,215,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.315173,114.1644146,94,5,15,Yau Tsim Mong,006-011
