name,lat1,lat2,lon1,lon2,Number_of_shop,Number_of_busStop,district
014-011,22.52,22.549999999999997,114.26,114.31,0,0,
014-012,22.52,22.549999999999997,114.31,114.36,0,0,
014-013,22.52,22.549999999999997,114.36,114.41,0,0,
014-014,22.52,22.549999999999997,114.41,114.46,0,0,
014-015,22.52,22.549999999999997,114.46,114.51,0,0,
015-001,22.549999999999997,22.58,113.76,113.81,0,0,
015-002,22.549999999999997,22.58,113.81,113.86,0,0,
015-003,22.549999999999997,22.58,113.86,113.91,0,0,
015-004,22.549999999999997,22.58,113.91,113.96,0,0,
015-005,22.549999999999997,22.58,113.96,114.01,0,0,
015-006,22.549999999999997,22.58,114.01,114.06,0,0,
015-007,22.549999999999997,22.58,114.06,114.11,0,0,
015-008,22.549999999999997,22.58,114.11,114.16,0,2,
015-009,22.549999999999997,22.58,114.16,114.21,0,0,
015-010,22.549999999999997,22.58,114.21,114.26,0,0,
015-011,22.549999999999997,22.58,114.26,114.31,0,0,
015-012,22.549999999999997,22.58,114.31,114.36,0,0,
015-013,22.549999999999997,22.58,114.36,114.41,0,0,
015-014,22.549999999999997,22.58,114.41,114.46,0,0,
015-015,22.549999999999997,22.58,114.46,114.51,0,0,
