name,formatted_address,place_id,rating,user_ratings_total,types,latitude,longitude
Wellcome - Kwai Shing,"Shop No. 129, 1/F, Kwai Shing East Estate, Kwai Chung, Hong Kong",ChIJb7dbvpb4AzQRAfcBShjx5qs,3.6,25,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.364627,114.127339
Wellcome,"Shik On Building, Shop C-E, G/F, Shek On Building, Cheung Sha Wan Rd, Hong Kong",ChIJVdJkq7UABDQR40nZUHTtwvU,3.5,53,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3289116,114.1648553
Wellcome,"Tai Kok Tsui Rd, Tai Kok Tsui, Hong Kong",ChIJc8eppbAABDQRVsv_lRzCRQI,3.6,85,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3216747,114.1618132
Wellcome Supermarket - Princeton Tower,"80 Des Voeux Rd W, Sheung Wan, Hong Kong",ChIJvQA8CH8ABDQRwY85G-qMfhU,3.6,85,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2876214,114.145976
Wellcome,"Kwai Hing Estate Market, Kwai Hing Shopping Centre, Kwai Chung, Hong Kong",ChIJAUnqbpr4AzQRe3PzZu1rZoY,3.5,72,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.366822,114.133057
Wellcome,"Yau Yat Lau, 11-11C Fa Po St, Yau Yat Chuen, Hong Kong",ChIJ-21OOTMHBDQRr557eeWzPdc,3.9,195,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3314516,114.1756327
Wellcome,"Shop 2F Level 4, 8 Sceneway Rd, Lam Tin, Hong Kong",ChIJt4DobVkBBDQRcBrszSWptJ8,3.3,36,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3066542,114.2340355
Wellcome,"Shop 32, Level 2, 1 On Tai Rd, Tai Po, Hong Kong",ChIJE6t3zEcIBDQRROg4XKN_aeg,3.3,61,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.4529089,114.170445
Wellcome,"Ping Wui Centre, Shop 31, G/F, Ping Wui St, Yuen Long, Hong Kong",ChIJ7XrZqp_wAzQRiJ8HEkrNUlo,3.6,181,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.4464198,114.0222579
Wellcome,"Shop A2, G/F., Arion Comm. Centre 2, 12 Queen's Rd W, Sheung Wan, Hong Kong",ChIJda8u7X4ABDQRxQQkikMp7Es,3.4,86,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.286365,114.148369
Wellcome,"Standard Chartered Bank Building - San Po Kong, Shop A-D, G/F, The Chartered Bank Building, No, Ning Yuen St, Hong Kong",ChIJr9bsktYGBDQRVPAqyuN0QqI,3.7,47,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3341059,114.195305
Wellcome,"Shop A, Seaview Court, Shanghai St, Yau Ma Tei, Hong Kong",ChIJC6C3Q-sABDQRIkEtpk0W-Go,3.6,15,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3044509,114.1690014
Wellcome,"1 Kwong Wa St, Yau Ma Tei, Hong Kong",ChIJPQdqk8YABDQRchWnJql5Go8,3.7,87,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3160147,114.1726625
Wellcome,"Hong Kong, Lei Cheng Uk, Castle Peak Rd, 170號, Apollo Building, B/F",ChIJ6-H6UEwHBDQRPnuX6AfQBTw,3.6,97,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.336193,114.1593909
