,name,lat1,lat2,lon1,lon2,Number_of_shop,ratingMean,Number_of_rating_Mean,Number_of_busStop,Number_of_Mtr,Number_of_competitor,district,predicted_sales,has_shop,rent,disposal,cost_per_grid
61,005-002,22.2851708,22.309273,113.87176193333332,113.90352686666668,0,,,2,0,0,,0.5080943143748345,0,0.040647545149986766,0.0,-0.040647545149986766
62,005-003,22.2851708,22.309273,113.90352686666668,113.9352918,0,,,20,0,0,,5.080943143748345,0,0.40647545149986763,0.0,-0.40647545149986763
63,005-004,22.2851708,22.309273,113.9352918,113.96705673333334,0,,,31,1,0,,7.378619184196666,0,0.5902895347357333,0.0,-0.5902895347357333
64,005-005,22.2851708,22.309273,113.96705673333334,113.99882166666669,0,,,3,0,0,,0.7621414715622519,0,0.06097131772498015,0.0,-0.06097131772498015
65,005-006,22.2851708,22.309273,113.99882166666669,114.0305866,0,,,30,0,0,,7.621414715622518,0,0.6097131772498015,0.0,-0.6097131772498015
66,005-007,22.2851708,22.309273,114.0305866,114.06235153333334,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
67,005-008,22.2851708,22.309273,114.06235153333334,114.09411646666666,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
68,005-009,22.2851708,22.309273,114.09411646666666,114.1258814,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
69,005-010,22.2851708,22.309273,114.1258814,114.15764633333332,5,3.640000000000001,121.8,66,1,2,,14.516904605207769,1,1.1613523684166216,12.611537753638338,11.450185385221715
70,005-011,22.2851708,22.309273,114.15764633333332,114.18941126666668,7,3.771428571428572,234.14285714285717,127,6,9,,21.392789968654117,1,1.7114231974923295,12.611537753638338,10.900114556146008
71,005-012,22.2851708,22.309273,114.18941126666668,114.2211762,3,3.6666666666666665,263.6666666666667,78,5,1,,16.454782277277953,1,1.3163825821822364,12.611537753638338,11.295155171456102
72,005-013,22.2851708,22.309273,114.2211762,114.25294113333334,2,3.35,76.5,59,5,2,,10.751203750442775,1,0.860096300035422,12.611537753638338,11.751441453602915
73,005-014,22.2851708,22.309273,114.25294113333334,114.28470606666669,0,,,38,1,0,,9.156949284508588,0,0.732555942760687,0.0,-0.732555942760687
74,005-015,22.2851708,22.309273,114.28470606666669,114.316471,0,,,14,0,0,,3.556660200623842,0,0.2845328160499074,0.0,-0.2845328160499074
75,006-001,22.309273,22.3333752,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
76,006-002,22.309273,22.3333752,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
77,006-003,22.309273,22.3333752,113.90352686666668,113.9352918,0,,,2,0,0,,0.5080943143748345,0,0.040647545149986766,0.0,-0.040647545149986766
78,006-004,22.309273,22.3333752,113.9352918,113.96705673333334,0,,,14,2,0,,2.562974823397305,0,0.2050379858717844,0.0,-0.2050379858717844
79,006-005,22.309273,22.3333752,113.96705673333334,113.99882166666669,0,,,6,0,0,,1.5242829431245037,0,0.1219426354499603,0.0,-0.1219426354499603
80,006-006,22.309273,22.3333752,113.99882166666669,114.0305866,0,,,1,2,0,,-0.7396382200391196,0,-0.05917105760312957,0.0,0.05917105760312957
81,006-007,22.309273,22.3333752,114.0305866,114.06235153333334,0,,,2,1,0,,0.01125162576156613,0,0.0009001300609252905,0.0,-0.0009001300609252905
82,006-008,22.309273,22.3333752,114.06235153333334,114.09411646666666,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
83,006-009,22.309273,22.3333752,114.09411646666666,114.1258814,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
84,006-010,22.309273,22.3333752,114.1258814,114.15764633333332,0,,,29,2,0,,6.373682181208563,0,0.5098945744966851,0.0,-0.5098945744966851
85,006-011,22.309273,22.3333752,114.15764633333332,114.18941126666668,14,3.6857142857142864,152.35714285714286,332,10,19,Sham Shui Po,62.718261034879056,1,5.017460882790324,12.611537753638338,7.5940768708480135
86,006-012,22.309273,22.3333752,114.18941126666668,114.2211762,0,,,150,2,6,Kowloon City District,31.853292959240548,0,2.548263436739244,0.0,-2.548263436739244
87,006-013,22.309273,22.3333752,114.2211762,114.25294113333334,1,3.5,182.0,136,1,3,Kwon Tong,31.423523068052727,1,2.513881845444218,12.611537753638338,10.09765590819412
88,006-014,22.309273,22.3333752,114.25294113333334,114.28470606666669,0,,,73,2,2,,15.798392016906421,0,1.2638713613525137,0.0,-1.2638713613525137
89,006-015,22.309273,22.3333752,114.28470606666669,114.316471,0,,,1,0,0,,0.25404715718741727,0,0.020323772574993383,0.0,-0.020323772574993383
90,007-001,22.3333752,22.3574774,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
91,007-002,22.3333752,22.3574774,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
92,007-003,22.3333752,22.3574774,113.90352686666668,113.9352918,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
93,007-004,22.3333752,22.3574774,113.9352918,113.96705673333334,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
94,007-005,22.3333752,22.3574774,113.96705673333334,113.99882166666669,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
95,007-006,22.3333752,22.3574774,113.99882166666669,114.0305866,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
96,007-007,22.3333752,22.3574774,114.0305866,114.06235153333334,0,,,12,0,0,,3.0485658862490075,0,0.2438852708999206,0.0,-0.2438852708999206
97,007-008,22.3333752,22.3574774,114.06235153333334,114.09411646666666,0,,,1,0,0,,0.25404715718741727,0,0.020323772574993383,0.0,-0.020323772574993383
98,007-009,22.3333752,22.3574774,114.09411646666666,114.1258814,0,,,57,0,2,Kwai Tsing,12.727322879134281,0,1.0181858303307425,0.0,-1.0181858303307425
99,007-010,22.3333752,22.3574774,114.1258814,114.15764633333332,0,,,114,7,4,,21.976746937975683,0,1.7581397550380546,0.0,-1.7581397550380546
100,007-011,22.3333752,22.3574774,114.15764633333332,114.18941126666668,2,3.6,129.5,109,3,3,,23.570564446765925,1,1.8856451557412741,12.611537753638338,10.725892597897063
101,007-012,22.3333752,22.3574774,114.18941126666668,114.2211762,2,3.6,100.5,115,3,1,Wong Tai Sin,26.84821247043893,1,2.1478569976351145,12.611537753638338,10.463680756003223
102,007-013,22.3333752,22.3574774,114.2211762,114.25294113333334,0,,,19,0,0,,4.826895986560928,0,0.3861516789248743,0.0,-0.3861516789248743
103,007-014,22.3333752,22.3574774,114.25294113333334,114.28470606666669,0,,,9,0,0,,2.2864244146867554,0,0.18291395317494044,0.0,-0.18291395317494044
104,007-015,22.3333752,22.3574774,114.28470606666669,114.316471,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
105,008-001,22.3574774,22.3815796,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
106,008-002,22.3574774,22.3815796,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
107,008-003,22.3574774,22.3815796,113.90352686666668,113.9352918,0,,,4,0,0,,1.016188628749669,0,0.08129509029997353,0.0,-0.08129509029997353
108,008-004,22.3574774,22.3815796,113.9352918,113.96705673333334,0,,,27,0,1,,5.982590703786014,0,0.47860725630288115,0.0,-0.47860725630288115
109,008-005,22.3574774,22.3815796,113.96705673333334,113.99882166666669,0,,,29,0,0,,7.367367558435101,0,0.589389404674808,0.0,-0.589389404674808
110,008-006,22.3574774,22.3815796,113.99882166666669,114.0305866,0,,,31,0,0,,7.875461872809935,0,0.6300369498247949,0.0,-0.6300369498247949
111,008-007,22.3574774,22.3815796,114.0305866,114.06235153333334,0,,,24,0,0,,6.097131772498015,0,0.4877705417998412,0.0,-0.4877705417998412
112,008-008,22.3574774,22.3815796,114.06235153333334,114.09411646666666,0,,,14,0,0,,3.556660200623842,0,0.2845328160499074,0.0,-0.2845328160499074
113,008-009,22.3574774,22.3815796,114.09411646666666,114.1258814,2,3.5,78.0,126,5,4,Tsuen Wan District,26.018998201451225,1,2.081519856116098,12.611537753638338,10.530017897522239
114,008-010,22.3574774,22.3815796,114.1258814,114.15764633333332,2,3.55,48.5,104,1,0,,25.92406165887813,1,2.0739249327102507,12.611537753638338,10.537612820928087
115,008-011,22.3574774,22.3815796,114.15764633333332,114.18941126666668,1,3.7,253.0,82,2,1,,18.961498971867428,1,1.5169199177493944,12.611537753638338,11.094617835888943
116,008-012,22.3574774,22.3815796,114.18941126666668,114.2211762,0,,,42,1,1,,9.296455372984006,0,0.7437164298387205,0.0,-0.7437164298387205
117,008-013,22.3574774,22.3815796,114.2211762,114.25294113333334,0,,,1,0,0,,0.25404715718741727,0,0.020323772574993383,0.0,-0.020323772574993383
118,008-014,22.3574774,22.3815796,114.25294113333334,114.28470606666669,0,,,15,0,0,,3.810707357811259,0,0.3048565886249007,0.0,-0.3048565886249007
119,008-015,22.3574774,22.3815796,114.28470606666669,114.316471,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
120,009-001,22.3815796,22.4056818,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
121,009-002,22.3815796,22.4056818,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
122,009-003,22.3815796,22.4056818,113.90352686666668,113.9352918,0,,,9,0,0,,2.2864244146867554,0,0.18291395317494044,0.0,-0.18291395317494044
123,009-004,22.3815796,22.4056818,113.9352918,113.96705673333334,0,,,11,0,0,,2.79451872906159,0,0.2235614983249272,0.0,-0.2235614983249272
124,009-005,22.3815796,22.4056818,113.96705673333334,113.99882166666669,0,,,73,1,0,Tuen Mun,18.048599786068195,0,1.4438879828854556,0.0,-1.4438879828854556
125,009-006,22.3815796,22.4056818,113.99882166666669,114.0305866,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
126,009-007,22.3815796,22.4056818,114.0305866,114.06235153333334,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
