id,STOP_ID,X,Y,LAST_UPDATE_DATE_STR,geometry,longitude,latitude
GS_BUS_STOP_VIEW.320,320,834090,816113,10/24/2022,POINT (114.1557400904032 22.283899383854095),114.1557400904032,22.283899383854095
GS_BUS_STOP_VIEW.321,321,833903,816159,10/24/2022,POINT (114.1539254652985 22.284314547125668),114.1539254652985,22.284314547125668
GS_BUS_STOP_VIEW.322,322,833627,816174,10/24/2022,POINT (114.1512472624479 22.28444960670527),114.1512472624479,22.28444960670527
GS_BUS_STOP_VIEW.323,323,833405,816344,10/24/2022,POINT (114.1490927707749 22.2859844602828),114.1490927707749,22.2859844602828
GS_BUS_STOP_VIEW.324,324,833015,816415,10/24/2022,POINT (114.14530820001862 22.286624944307327),114.14530820001862,22.286624944307327
GS_BUS_STOP_VIEW.325,325,832755,816438,10/24/2022,POINT (114.1427851869672 22.286832139288666),114.1427851869672,22.286832139288666
GS_BUS_STOP_VIEW.326,326,832628,816446,10/24/2022,POINT (114.14155279677767 22.28690412119699),114.14155279677767,22.28690412119699
GS_BUS_STOP_VIEW.327,327,832463,816288,10/24/2022,POINT (114.1399520569072 22.285476925947815),114.1399520569072,22.285476925947815
GS_BUS_STOP_VIEW.328,328,832016,816082,10/24/2022,POINT (114.13561508270381 22.283615572814522),114.13561508270381,22.283615572814522
GS_BUS_STOP_VIEW.329,329,831785,816096,10/24/2022,POINT (114.13337353649135 22.283741417168777),114.13337353649135,22.283741417168777
GS_BUS_STOP_VIEW.331,331,831554,815489,10/24/2022,POINT (114.13113380849276 22.278259206909823),114.13113380849276,22.278259206909823
GS_BUS_STOP_VIEW.334,334,831503,814533,10/24/2022,POINT (114.13064178350545 22.269625773408684),114.13064178350545,22.269625773408684
GS_BUS_STOP_VIEW.336,336,831822,813949,10/24/2022,POINT (114.13373850495512 22.264352724478304),114.13373850495512,22.264352724478304
GS_BUS_STOP_VIEW.337,337,832020,813745,10/24/2022,POINT (114.13566007254545 22.262510969202882),114.13566007254545,22.262510969202882
GS_BUS_STOP_VIEW.340,340,832308,812997,10/24/2022,POINT (114.13845610079821 22.255756720167927),114.13845610079821,22.255756720167927
GS_BUS_STOP_VIEW.343,343,831776,813980,10/24/2022,POINT (114.13329211875475 22.264632555725747),114.13329211875475,22.264632555725747
GS_BUS_STOP_VIEW.344,344,831639,814277,10/24/2022,POINT (114.13196206447542 22.267314297366795),114.13196206447542,22.267314297366795
