name,formatted_address,place_id,rating,user_ratings_total,types,latitude,longitude,num_bus_stops_within_1km,district
Wellcome,"Yau Yat Lau, 11-11C Fa Po St, Yau Yat Chuen, Hong Kong",ChIJ-21OOTMHBDQRr557eeWzPdc,3.9,195,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",22.3314516,114.1756327,88,Yau Tsim Mong
Wellcome,"Shop 2F Level 4, 8 Sceneway Rd, Lam Tin, Hong Kong",ChIJt4DobVkBBDQRcBrszSWptJ8,3.3,36,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",22.3066542,114.2340355,68,Kwon Tong
Wellcome,"Kwai Hing Estate Market, Kwai Hing Shopping Centre, Kwai Chung, Hong Kong",ChIJAUnqbpr4AzQRe3PzZu1rZoY,3.5,72,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",22.366822,114.133057,92,Tsuen Wan District
Wellcome Supermarket,"11 On Chun St, Ma On Shan, Hong Kong",ChIJtcNtYbAIBDQRWVrDl6cZqxs,3.3,72,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",22.4250117,114.2283498,28,Sha Tin
Wellcome,"Shop 32, Level 2, 1 On Tai Rd, Tai Po, Hong Kong",ChIJE6t3zEcIBDQRROg4XKN_aeg,3.3,61,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",22.4529089,114.170445,69,Tai Po District
Wellcome,"Ping Wui Centre, Shop 31, G/F, Ping Wui St, Yuen Long, Hong Kong",ChIJ7XrZqp_wAzQRiJ8HEkrNUlo,3.6,181,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",22.4464198,114.0222579,61,Yuen Long District
Wellcome - Happy Valley,"13-19號 Sing Woo Rd, Happy Valley, Hong Kong",ChIJKzlxg04ABDQRQVbZP8r14Cc,3.8,131,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",22.2694819,114.1857327,79,Wan Chai
Wellcome,"Standard Chartered Bank Building - San Po Kong, Shop A-D, G/F, The Chartered Bank Building, No, Ning Yuen St, Hong Kong",ChIJr9bsktYGBDQRVPAqyuN0QqI,3.7,47,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",22.3341059,114.195305,90,Kowloon City District
Wellcome,"Shop A, Seaview Court, Shanghai St, Yau Ma Tei, Hong Kong",ChIJC6C3Q-sABDQRIkEtpk0W-Go,3.6,15,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",22.3044509,114.1690014,86,Yau Tsim Mong
Wellcome,"1 Kwong Wa St, Yau Ma Tei, Hong Kong",ChIJPQdqk8YABDQRchWnJql5Go8,3.7,87,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",22.3160147,114.1726625,119,Yau Tsim Mong
Wellcome,"Hong Kong, Lei Cheng Uk, Castle Peak Rd, 170號, Apollo Building, B/F",ChIJ6-H6UEwHBDQRPnuX6AfQBTw,3.6,97,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",22.336193,114.1593909,132,Sham Shui Po
Wellcome,"Shop No. 8-13 Centre Shopping Arcade II, Hong Kong",ChIJG5oFc_r4AzQRIlDOXLUJHQM,3.4,42,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",22.3791409,114.1075428,34,Tsuen Wan District
Wellcome,"Shop C7, 2/F Commercial Centre, Estate, Tai Wo Hau Rd, Tsuen Wan New Town, Hong Kong",ChIJ6yg6pZP4AzQR_rNokpOnYHY,3.6,114,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",22.368415,114.123814,111,Tsuen Wan District
Wellcome,"Shop No. 30, G/F, Wan Tau Tong Shopping Ctr, Tai Po, Hong Kong",ChIJo1bHRxUIBDQRD_PzkOjaVTw,3.7,152,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",22.4420238,114.1667061,28,Tai Po District
Wellcome - Yat Tung Superstore,"Shop No 110, 1/F Eaton Shopping Centre, Yat Tung Estate, Tung Chung, Hong Kong",ChIJibJ9J6HiAzQR6f60A8w4neE,3.6,214,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",22.2813936,113.9347961,28,Islands District
Wellcome,"Wearbest Building, 66 To Kwa Wan Rd, To Kwa Wan, Hong Kong",ChIJcbEJNtgABDQRoRteMKfSZTI,3.7,318,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",22.3157615,114.1889025,90,Kowloon City District
惠康 Wellcome,"Portion of Flats A-D, G/F, Yuen Shing Bldg, 9, 11, 13, 15, 19 &, 21 Gillies Ave S, Hung Hom, Hong Kong",ChIJbSauYecABDQR7BkK69nBuDg,3.7,94,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",22.306573,114.1839118,81,Yau Tsim Mong
Wellcome Supermarket - Princeton Tower,"80 Des Voeux Rd W, Sheung Wan, Hong Kong",ChIJvQA8CH8ABDQRwY85G-qMfhU,3.6,85,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",22.2876214,114.145976,92,Central and Western District
Wellcome,"G/F, Hung Shuk Chun Building, Fuk Wing St, Sham Shui Po, Hong Kong",ChIJbUFrKFIHBDQRU1pMUXGNEyw,3.5,138,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",22.3392347,114.1535275,86,Sham Shui Po
