name,formatted_address,place_id,rating,user_ratings_total,types,latitude,longitude
PARKnSHOP Click & Collect (觀塘瑞和街),"九龍觀塘瑞和街42號地下及閣樓 G/F and M/F, 42 Shui Wo St, Kwun Tong",ChIJOwfZkZ4BBDQR0uQRDjrvQnA,3.5,121,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3154508,114.2248928
Wellcome Supermarket,"Rondall Building, 香港塘尾, 168-178號 Tai Po Rd, Tai Kok Tsui",ChIJ2184JbUABDQR88rSBoKEp5s,3.9,32,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3312467,114.1653316
PARKnSHOP Click & Collect (沙田新田圍邨),"新界沙田新田圍邨新田圍商場4樓25號舖 Shop 25, 4/F, Sun Tin Wai Shopping Centre, Sun Tin Wai Estate",ChIJIV5IBxMHBDQR7Qys0i1Ta38,3.4,14,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3698257,114.1862935
PARKnSHOP Click & Collect (黃大仙竹園廣場),"2/F, 九龍黃大仙竹園道15號竹園廣場2樓S229號舖 Shop No S229, 2/F, Chuk Yuen Plaza, 15 Chuk Yuen Rd, Chuk Un",ChIJsbTkMN8GBDQRCqsHaw3uKmQ,3.7,48,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3446731,114.1935424
Park'n Shop,"Prince Edward Rd W, No 171號Shop On 1/F Plus Entrance On G/F Bijou Court",ChIJR9fruMkABDQRLPcdIc59i5g,3.6,257,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3240076,114.1692979
Wellcome Superstore,"Liberte Block 8, Lai Chi Kok Rd, Cheung Sha Wan",ChIJB5YJu1QHBDQR6-SMc1zlKwg,3.6,266,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3349342,114.1484909
Wellcome Superstore,"69 Broadway, Mei Foo Sun Chuen",ChIJT_ciK6v4AzQRs67ZP901Mik,3.8,147,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.335935,114.1407408
PARKnSHOP (深水埗茘枝角道),"地下2號舖, Wen Pang Building, 288號 Lai Chi Kok Rd, Sham Shui Po",ChIJxbnufXgBBDQR-lfn9o1JbBE,3.4,83,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3280187,114.1614753
PARKnSHOP,"Cheung Sha Wan, Hang Cheung St, 8號107號舖 Shop No. 107, Level 1, Fortune Shopping Ctr, 8 Hang Tsueng St, Cheung Sha Wan幸福商場1樓",ChIJ6T-q6lIHBDQRXP_MrMNfSj4,3.0,28,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3353334,114.1542931
PARKnSHOP Click & Collect (茘枝角海麗邨),"Hoi Lai Shopping Centre, 九龍荔枝角海麗邨海麗商場一樓106號舖 Shop 106, 1/F, Lai Chi Kok",ChIJ7bEsHhsBBDQRRaP1RSNXSXM,3.3,113,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",22.3314963,114.1479298
